problem,m,iterations,runtime,grad_norm,converged,exit_code
powell_singular,19,43,0.003773927688598633,1.8263148137641105e-07,True,Convergence
powell_singular,20,42,0.0038242340087890625,4.591707995897307e-06,True,Convergence
powell_singular,21,42,0.003916501998901367,1.734898392563805e-07,True,Convergence
powell_singular,22,39,0.003711700439453125,4.563180036988039e-05,True,Convergence
powell_singular,23,50,0.005082130432128906,1.2186632021743948e-06,True,Convergence
powell_singular,24,50,0.005045652389526367,3.1965100578113704e-07,True,Convergence
powell_singular,25,51,0.00565791130065918,1.2733175298828122e-06,True,Convergence
logistic_regression_20d,1,33,0.0019257068634033203,2.0415044703977258e-06,True,Convergence
logistic_regression_20d,2,33,0.0018155574798583984,1.683906192218374e-06,True,Convergence
logistic_regression_20d,3,33,0.0021431446075439453,1.1332520170137233e-06,True,Convergence
logistic_regression_20d,4,32,0.0019254684448242188,1.370660644874542e-06,True,Convergence
logistic_regression_20d,5,29,0.002086162567138672,1.6504567397713802e-06,True,Convergence
logistic_regression_20d,6,29,0.0021386146545410156,1.4784703805395842e-06,True,Convergence
logistic_regression_20d,7,28,0.0020089149475097656,1.6480308968289354e-06,True,Convergence
logistic_regression_20d,8,28,0.002393960952758789,2.1487965837366964e-06,True,Convergence
logistic_regression_20d,9,26,0.002009153366088867,2.0398869547412424e-06,True,Convergence
logistic_regression_20d,10,28,0.002230405807495117,8.671308884326433e-07,True,Convergence
logistic_regression_20d,11,28,0.0024399757385253906,8.520439487041565e-07,True,Convergence
logistic_regression_20d,12,27,0.002239704132080078,4.856841550038062e-06,True,Convergence
logistic_regression_20d,13,27,0.0023827552795410156,4.193522069609833e-06,True,Convergence
logistic_regression_20d,14,27,0.0024149417877197266,2.4065646202236882e-06,True,Convergence
logistic_regression_20d,15,27,0.002480745315551758,2.376698463477332e-06,True,Convergence
logistic_regression_20d,16,27,0.0025670528411865234,1.0221776247245817e-06,True,Convergence
logistic_regression_20d,17,25,0.0023903846740722656,1.2940422710327329e-06,True,Convergence
logistic_regression_20d,18,25,0.0022878646850585938,1.1913823030240678e-06,True,Convergence
logistic_regression_20d,19,25,0.0023190975189208984,1.3752375794714052e-06,True,Convergence
logistic_regression_20d,20,25,0.0023717880249023438,1.8315875199111604e-06,True,Convergence
logistic_regression_20d,21,25,0.0024406909942626953,1.915266133342888e-06,True,Convergence
logistic_regression_20d,22,25,0.0024826526641845703,1.8603437134725333e-06,True,Convergence
logistic_regression_20d,23,25,0.002491474151611328,1.7452602524806773e-06,True,Convergence
logistic_regression_20d,24,25,0.002437114715576172,1.6338945517771927e-06,True,Convergence
logistic_regression_20d,25,25,0.0023882389068603516,1.6338945517771927e-06,True,Convergence
exp_fitting,1,82,0.006644487380981445,1.819760027344626e-05,True,Convergence
exp_fitting,2,29,0.002493619918823242,2.680211660113563e-06,True,Convergence
exp_fitting,3,22,0.0018749237060546875,7.601762948766752e-07,True,Convergence
exp_fitting,4,23,0.0018944740295410156,1.547728772101738e-06,True,Convergence
exp_fitting,5,23,0.001977205276489258,4.230557165013634e-09,True,Convergence
exp_fitting,6,24,0.0021164417266845703,1.1526870920584077e-08,True,Convergence
exp_fitting,7,24,0.002118825912475586,1.1789826480947016e-08,True,Convergence
exp_fitting,8,22,0.002077341079711914,3.072122153810369e-09,True,Convergence
exp_fitting,9,22,0.002168416976928711,1.6301846783857858e-08,True,Convergence
exp_fitting,10,22,0.0022029876708984375,1.7973441182199597e-07,True,Convergence
exp_fitting,11,22,0.002237081527709961,4.6697205142628556e-07,True,Convergence
exp_fitting,12,23,0.0023508071899414062,3.2032831136885225e-08,True,Convergence
exp_fitting,13,23,0.0024864673614501953,7.401002516655119e-08,True,Convergence
exp_fitting,14,22,0.0024170875549316406,8.934078424762593e-08,True,Convergence
exp_fitting,15,22,0.002363443374633789,5.916410835928295e-08,True,Convergence
exp_fitting,16,22,0.0023813247680664062,1.9066832501245523e-07,True,Convergence
exp_fitting,17,22,0.0023772716522216797,3.0625406216480127e-07,True,Convergence
exp_fitting,18,22,0.0023932456970214844,3.6639016201713663e-07,True,Convergence
exp_fitting,19,22,0.0023877620697021484,3.81415154976395e-07,True,Convergence
exp_fitting,20,22,0.0023958683013916016,3.8288896122165936e-07,True,Convergence
exp_fitting,21,22,0.002399921417236328,3.829099834991892e-07,True,Convergence
exp_fitting,22,22,0.0024144649505615234,3.829099834991892e-07,True,Convergence
exp_fitting,23,22,0.002415180206298828,3.829099834991892e-07,True,Convergence
exp_fitting,24,22,0.002454519271850586,3.829099834991892e-07,True,Convergence
exp_fitting,25,22,0.0024137496948242188,3.829099834991892e-07,True,Convergence
random_multibasin,1,10,0.0006918907165527344,3.387569793748007e-07,True,Convergence
random_multibasin,2,8,0.0005292892456054688,1.510021165440803e-07,True,Convergence
random_multibasin,3,8,0.0005178451538085938,2.7294140302830044e-10,True,Convergence
random_multibasin,4,8,0.0005123615264892578,3.6854367390265354e-09,True,Convergence
random_multibasin,5,8,0.0005328655242919922,8.212914278682265e-08,True,Convergence
random_multibasin,6,8,0.0005393028259277344,8.147482354817247e-08,True,Convergence
random_multibasin,7,8,0.0005304813385009766,8.162056376211468e-08,True,Convergence
random_multibasin,8,8,0.0005514621734619141,8.162056376211468e-08,True,Convergence
random_multibasin,9,8,0.00054168701171875,8.162056376211468e-08,True,Convergence
random_multibasin,10,8,0.0005385875701904297,8.162056376211468e-08,True,Convergence
random_multibasin,11,8,0.00054168701171875,8.162056376211468e-08,True,Convergence
random_multibasin,12,8,0.0005550384521484375,8.162056376211468e-08,True,Convergence
random_multibasin,13,8,0.0005519390106201172,8.162056376211468e-08,True,Convergence
random_multibasin,14,8,0.000553131103515625,8.162056376211468e-08,True,Convergence
random_multibasin,15,8,0.0005292892456054688,8.162056376211468e-08,True,Convergence
random_multibasin,16,8,0.0005369186401367188,8.162056376211468e-08,True,Convergence
random_multibasin,17,8,0.0005321502685546875,8.162056376211468e-08,True,Convergence
random_multibasin,18,8,0.0005419254302978516,8.162056376211468e-08,True,Convergence
random_multibasin,19,8,0.0005385875701904297,8.162056376211468e-08,True,Convergence
random_multibasin,20,8,0.0005252361297607422,8.162056376211468e-08,True,Convergence
random_multibasin,21,8,0.0005476474761962891,8.162056376211468e-08,True,Convergence
